PS C:\Users\sacha> scoop search
Results from local buckets...

Name                               Version                                  Source Binaries
drive-letter-changer               1.4                                      extras
driverstoreexplorer                0.11.92                                  extras
droidcam                           6.5.2                                    extras
dropit                             8.5.1                                    extras
ds4windows                         3.2.10                                   extras
dual-monitor-tools                 2.9                                      extras
duality                            3.0                                      extras
dualmonitortaskbar                 1.22.021813                              extras
dukto                              6                                        extras
dumo                               2.25.4.125                               extras
dupeguru                           4.3.1                                    extras
duplicati                          2.0.6.3_beta_2021-06-17                  extras
dxirc                              1.40.1                                   extras
dxwnd                              2.05.95                                  extras
eac                                1.6                                      extras
eagleget                           2.1.5.10                                 extras
eartrumpet                         2.2.2.0                                  extras
easy-context-menu                  1.6                                      extras
easyrsa                            3.1.3                                    extras
easyserviceoptimizer               1.2                                      extras
ec2-api-tools                      1.7.3.0                                  extras
echoargs                           3.2.0                                    extras
eclipse-android                    4.6.3                                    extras
eclipse-automotive                 4.5.2                                    extras
eclipse-committers                 2023-03                                  extras
eclipse-cpp                        2023-03                                  extras
eclipse-dsl                        2023-03                                  extras
eclipse-embedcpp                   2023-03                                  extras
eclipse-java                       2023-03                                  extras
eclipse-javascript                 2020-12                                  extras
eclipse-jee                        2023-03                                  extras
eclipse-mat                        1.14.0.20230315                          extras
eclipse-modeling                   2023-03                                  extras
eclipse-parallel                   2023-03                                  extras
eclipse-php                        2023-03                                  extras
eclipse-platform                   4.27-202303020300                        extras
eclipse-rcp                        2023-03                                  extras
eclipse-reporting                  2019-09                                  extras
eclipse-rust                       2020-12                                  extras
eclipse-scout                      2023-03                                  extras
eclipse-sdk                        4.27-202303020300                        extras
eclipse-sumo                       1.17.0                                   extras
eclipse-testing                    2020-12                                  extras
edex-ui                            2.2.8                                    extras
effekseer                          170b                                     extras
eget                               1.3.3                                    extras
eiskaltdcpp                        2.4.2                                    extras
elasticsearch                      8.7.1                                    extras
electerm                           1.25.41                                  extras
electron-cash                      4.3.1                                    extras
electron-fiddle                    0.32.6                                   extras
electronics-assistant              4.32                                     extras
electronmail                       5.1.7                                    extras
electrum                           4.4.3                                    extras
element                            1.11.31                                  extras
elisa                              23.04.1-1505                             extras
emacs                              28.2                                     extras
emax64-pdumper                     20180619                                 extras
emeditor                           22.4.0                                   extras
emule-community                    0.60d                                    extras
emule                              0.50a                                    extras
encryptpad                         0.5.0.2                                  extras
engauge-digitizer                  12.1                                     extras
enpass                             6.8.6.1365                               extras
enso                               1.0                                      extras
eraser                             6.2.0.2993                               extras
etcher-cli                         1.4.9                                    extras
etcher                             1.18.4                                   extras
ethereum-wallet                    0.11.1                                   extras
etlas                              1.5.0.0                                  extras
euler                              2023-03-27                               extras
everything-lite                    1.4.1.1023                               extras
everything                         1.4.1.1023                               extras
exaile                             4.1.2                                    extras
exe-explorer                       3.6.2                                    extras
executor                           1.0.11                                   extras
exeinfo-pe                         0.0.7.7                                  extras
exifcleaner                        3.6.0                                    extras
explorer-suite                     III                                      extras
explorerplusplus                   1.4.0-beta-2                             extras
expresso                           3.1.7917                                 extras
extraterm                          0.71.1                                   extras
ezunlock                           0.1                                      extras
f3d                                2.0.0                                    extras
fadetop                            3.1.0.171                                extras
falcon-sql-client                  4.1.0                                    extras
falconx                            1.4.5.0                                  extras
falkon                             3.1.0                                    extras
famistudio                         4.0.6                                    extras
fancontrol                         157                                      extras
fastcopy                           5.1.0                                    extras
fastglacier                        4.1.5                                    extras
fat32format-gui                    1.01                                     extras
fatty                              20210122                                 extras
fbflipper                          0.191.0                                  extras
fbide                              0.4.6r4                                  extras
fclones                            0.30.0                                   extras
featherwallet                      2.4.5                                    extras
feem                               4.3.0                                    extras
ferdium                            6.2.7                                    extras
ffdec                              18.4.1                                   extras
ffmpeg-batch                       2.8.6                                    extras
ffqueue                            1.7.59                                   extras
fiddler                            5.0.20211.51073                          extras
figma                              116.9.5                                  extras
fiji                               20221201-1017                            extras
filebot                            5.0.2                                    extras
filelight                          23.04.1-1352                             extras
fileoptimizer                      16.30.2781                               extras
filezilla-server                   1.6.6                                    extras
filezilla                          3.63.1                                   extras
find-java                          13                                       extras
firedm                             2022.2.5                                 extras
firefox-eme-free                   113.0.1                                  extras
firefox-esr                        102.11.0                                 extras
firefox                            113.0.1                                  extras
firefoxpwa                         2.6.0                                    extras
firemin                            9.5.3.8055                               extras
firewallappblocker                 1.9                                      extras
fix-print-spooler                  1.3                                      extras
flameshot                          12.1.0                                   extras
flashboot                          3.3n                                     extras
flashplayer-sa-debug               32.0.0.465                               extras
flashplayer-sa                     32.0.0.465                               extras
flat-assembler                     1.73.30                                  extras
flow-launcher                      1.15.0                                   extras
fluent-reader                      1.1.3                                    extras
fluent-search                      0.9.91.9995                              extras
flutter                            3.10.1                                   extras
flux                               4.120                                    extras
fmedia                             1.30                                     extras
fnr                                1.8.1                                    extras
focus                              1.3.0                                    extras
